City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,76.21,57,40,9.22,MU,1629958981
La Santisima Trinidad,-14.8333,-64.9,80.83,34,51,3.4,BO,1629958982
Qaanaaq,77.484,-69.3632,37.04,94,100,8.05,GL,1629958982
Haverfordwest,51.8017,-4.9691,60.55,89,3,4.25,GB,1629958982
Port Alfred,-33.5906,26.891,73.96,35,48,9.8,ZA,1629958800
Rikitea,-23.1203,-134.9692,72.16,60,32,14.56,PF,1629958983
Aripuanã,-9.1667,-60.6333,76.19,59,91,1.3,BR,1629958983
Maturin,9.75,-63.1767,72.91,98,45,3.69,VE,1629958983
Hermanus,-34.4187,19.2345,56.89,81,33,19.33,ZA,1629958984
Awjilah,29.1081,21.2869,80.02,42,0,7.2,LY,1629958984
Arlit,18.7369,7.3853,83.91,52,40,16.71,NE,1629958984
Faya,18.3851,42.4509,78.91,29,2,13.82,SA,1629958985
Manavālakurichi,8.1333,77.3,84.29,65,59,14.43,IN,1629958985
Punta Arenas,-53.15,-70.9167,28.51,93,40,4.61,CL,1629958957
Iqaluit,63.7506,-68.5145,42.53,81,75,9.22,CA,1629958985
Kununurra,-15.7667,128.7333,94.01,11,9,8.23,AU,1629958986
Vardø,70.3705,31.1107,49.98,76,0,5.75,NO,1629958986
Muroto-misakicho,33.2833,134.15,82.44,84,100,10.36,JP,1629958987
Avarua,-21.2078,-159.775,68.05,88,90,2.3,CK,1629958987
Parkes,-33.1333,148.1833,53.89,61,70,4.99,AU,1629958987
Mossamedes,-15.1961,12.1522,63.7,66,0,10.33,AO,1629958988
Vanimo,-2.6741,141.3028,80.85,78,100,5.19,PG,1629958988
Bubaque,11.2833,-15.8333,79.38,81,100,6.02,GW,1629958988
Hofn,64.2539,-15.2082,54.1,97,62,15.5,IS,1629958988
Saint-Philippe,-21.3585,55.7679,76.55,69,21,8.72,RE,1629958989
Khatanga,71.9667,102.5,40.82,64,100,9.89,RU,1629958989
Ketchikan,55.3422,-131.6461,55.87,94,90,5.75,US,1629958990
Hithadhoo,-0.6,73.0833,82.74,70,7,10.38,MV,1629958990
Dikson,73.5069,80.5464,37.4,78,98,15.97,RU,1629958990
Atar,20.5169,-13.0499,91.47,21,63,11.65,MR,1629958991
Laas,46.6166,10.7002,59.02,71,17,4.38,IT,1629958991
Upernavik,72.7868,-56.1549,41.05,90,100,17.27,GL,1629958991
Prince Rupert,54.3161,-130.3201,56.89,94,90,5.75,CA,1629958991
Savannah Bight,16.45,-85.85,82.0,78,39,7.31,HN,1629958992
Barrow,71.2906,-156.7887,42.82,81,90,8.05,US,1629958992
Bluff,-46.6,168.3333,45.81,89,100,4.52,NZ,1629958992
Busselton,-33.65,115.3333,57.07,61,74,22.46,AU,1629958993
Sioux Lookout,50.1001,-91.917,53.98,76,20,8.05,CA,1629958993
Fairbanks,64.8378,-147.7164,56.1,93,75,0.0,US,1629958817
Hurghada,27.2574,33.8129,88.34,41,0,24.7,EG,1629958993
Ushuaia,-54.8,-68.3,31.66,69,0,3.44,AR,1629958994
Mitú,1.1983,-70.1733,73.74,86,78,1.59,CO,1629958803
Görele,41.0308,39.0031,78.24,64,36,4.43,TR,1629958994
Souillac,-20.5167,57.5167,76.35,57,40,9.22,MU,1629958994
Moa,20.6569,-74.9403,79.34,86,100,9.73,CU,1629958995
East London,-33.0153,27.9116,72.54,28,0,5.75,ZA,1629958995
Port Blair,11.6667,92.75,77.04,94,90,4.61,IN,1629958995
Dalvik,65.9702,-18.5286,58.93,84,100,10.09,IS,1629958996
High Rock,26.6208,-78.2833,75.22,77,96,17.74,BS,1629958996
Villavicencio,4.142,-73.6266,69.87,90,98,4.79,CO,1629958808
Port Elizabeth,-33.918,25.5701,62.89,82,0,19.57,ZA,1629958996
Nikolskoye,59.7035,30.7861,55.02,71,100,8.66,RU,1629958997
Serik,36.9169,31.0989,89.85,29,0,2.13,TR,1629958997
Vaini,-21.2,-175.2,66.36,72,20,10.36,TO,1629958997
Pāsighāt,28.0667,95.3333,76.75,100,100,4.54,IN,1629958998
Atuona,-9.8,-139.0333,77.32,79,39,16.37,PF,1629958998
Ous,60.9058,61.5186,61.9,68,99,8.81,RU,1629958998
Yellowknife,62.456,-114.3525,55.92,76,20,6.91,CA,1629958999
Bathsheba,13.2167,-59.5167,79.41,78,40,10.36,BB,1629958999
Albany,42.6001,-73.9662,72.91,93,67,2.28,US,1629958933
Rivadavia,-33.1905,-68.4608,45.07,28,0,4.36,AR,1629958999
Leningradskiy,69.3833,178.4167,32.5,87,100,25.48,RU,1629959000
Impfondo,1.6381,18.0667,74.25,85,66,2.46,CG,1629959000
Krasnosel'kup,65.7,82.4667,59.52,49,92,13.76,RU,1629959000
Bredasdorp,-34.5322,20.0403,54.72,71,37,6.91,ZA,1629959001
Tuktoyaktuk,69.4541,-133.0374,47.68,92,100,12.06,CA,1629959001
Saint-Pierre,-21.3393,55.4781,76.64,62,0,17.27,RE,1629959001
Chui,-33.6971,-53.4616,49.23,86,98,8.88,UY,1629959001
Kharp,66.8014,65.8081,44.98,82,100,12.08,RU,1629959002
Nahrin,36.0649,69.1334,82.02,18,0,7.63,AF,1629959002
Quatre Cocos,-20.2078,57.7625,76.08,62,1,11.68,MU,1629959002
Butaritari,3.0707,172.7902,83.52,72,89,13.98,KI,1629959003
Hobart,-42.8794,147.3294,49.86,86,75,3.0,AU,1629958712
Roebourne,-20.7833,117.1333,87.08,24,16,10.85,AU,1629959003
Ucluelet,48.9329,-125.5528,62.1,86,100,7.25,CA,1629959003
Kruisfontein,-34.0033,24.7314,59.88,76,39,6.89,ZA,1629959004
Longyearbyen,78.2186,15.6401,46.24,71,75,4.61,SJ,1629959004
Margate,51.3813,1.3862,60.51,72,100,11.01,GB,1629959004
Antofagasta,-23.65,-70.4,54.68,68,1,9.53,CL,1629958943
Sinnamary,5.3833,-52.95,77.47,86,34,3.94,GF,1629959005
Coyhaique,-45.5752,-72.0662,31.95,80,0,6.91,CL,1629959005
Arona,28.0996,-16.681,64.81,81,20,3.44,ES,1629959005
